count,word,rank,cumulative_fraction
33601,fertig,317,0.6917
33525,allein,318,0.6921
33476,wann,319,0.6924
33451,brauche,320,0.6928
33252,bruder,321,0.6931
33245,hilfe,322,0.6935
33202,halten,323,0.6938
33181,hatten,324,0.6942
33079,kind,325,0.6945
33069,siehst,326,0.6949
32828,darüber,327,0.6952
32825,konnte,328,0.6956
32792,wahr,329,0.6959
32628,warst,330,0.6963
32569,beim,331,0.6966
32531,ne,332,0.697
32530,seinen,333,0.6973
32462,beide,334,0.6977
32332,denken,335,0.698
32283,jahren,336,0.6983
31908,daran,337,0.6987
31779,kam,338,0.699
31717,dazu,339,0.6993
31576,gib,340,0.6997
31483,würden,341,0.7
31221,verstehe,342,0.7003
31058,deinem,343,0.7007
30847,ihrem,344,0.701
30844,deiner,345,0.7013
30820,wusste,346,0.7016
30743,könnten,347,0.702
30735,fall,348,0.7023
30660,lieber,349,0.7026
30446,eigentlich,350,0.7029
30412,bekommen,351,0.7033
30306,jeden,352,0.7036
30300,sieh,353,0.7039
30257,dank,354,0.7042
30171,vergessen,355,0.7045
30103,kennen,356,0.7049
30060,mag,357,0.7052
29963,sehe,358,0.7055
29796,frage,359,0.7058
29788,gern,360,0.7061
29593,komme,361,0.7064
29590,stadt,362,0.7067
29204,sage,363,0.707
29159,kopf,364,0.7074
29061,männer,365,0.7077
28936,egal,366,0.708
28922,letzte,367,0.7083
28879,namen,368,0.7086
28744,gab,369,0.7089
28720,kleine,370,0.7092
28654,mache,371,0.7095
28571,töten,372,0.7098
28565,fahren,373,0.7101
28366,all,374,0.7104
28273,n,375,0.7107
28272,später,376,0.711
28149,uhr,377,0.7113
28065,ende,378,0.7116
27935,baby,379,0.7119
27758,gehe,380,0.7122
27747,glück,381,0.7125
27590,dinge,382,0.7128
27436,freunde,383,0.713
27343,bisschen,384,0.7133
27336,sterben,385,0.7136
27177,darauf,386,0.7139
27064,bald,387,0.7142
26971,minuten,388,0.7145
26844,echt,389,0.7148
26763,bereit,390,0.715
